Timevalue,Viable Cell Density,Glucose,Glutamine,Lactate,Ammonium,Product,Impurity 1,Impurity 2
0,2.9390625,23.90625,5.71875,3.5546875,0,0,0,0
1.41124E-07,2.939062528,23.90624999,5.718749991,3.554687509,8.19664E-09,2.63283E-11,3.43641E-10,1.14547E-10
0.00141138,2.939338582,23.90616951,5.718658708,3.554782376,8.19749E-05,2.63337E-07,3.43707E-06,1.14569E-06
0.015523773,2.942100801,23.90536425,5.717745802,3.555731621,0.000901663,2.89833E-06,3.78252E-05,1.26084E-05
0.038936046,2.94668852,23.9040268,5.71623106,3.557308204,0.002261583,7.27561E-06,9.49397E-05,3.16466E-05
0.079739987,2.954700486,23.90169109,5.713590342,3.56006154,0.004631918,1.49228E-05,0.000194684,6.48947E-05
0.150105032,2.968566183,23.89764886,5.709034209,3.564826528,0.008720121,2.81655E-05,0.000367304,0.000122435
0.268430757,2.992024775,23.89081003,5.701365968,3.572888143,0.015596698,5.05942E-05,0.000659351,0.000219784
0.448907746,3.028151469,23.8802781,5.689653611,3.585303188,0.026089877,8.51939E-05,0.001109108,0.000369703
0.629384735,3.064700189,23.86962314,5.677921233,3.597863264,0.036588835,0.00012027,0.001564119,0.000521373
1.036650749,3.148754799,23.84511889,5.651370011,3.626748879,0.060303441,0.000201213,0.002610552,0.000870184
1.443916763,3.235035374,23.81996572,5.624710537,3.656399454,0.08405118,0.000284691,0.003684698,0.001228233
1.851182777,3.323596131,23.7941478,5.597938357,3.68683362,0.107834674,0.000370781,0.00478723,0.001595743
2.258448791,3.41449552,23.76764812,5.571048671,3.718071464,0.131656752,0.000459569,0.005918877,0.001972959
2.665714805,3.507793077,23.7404493,5.544036599,3.750133446,0.155520283,0.000551141,0.007080379,0.002360126
3.452117978,3.694955702,23.68588621,5.491513381,3.814452436,0.20172727,0.000736173,0.00941045,0.003136817
4.238521151,3.891731386,23.62852065,5.438478984,3.882074982,0.24812102,0.00093259,0.011860198,0.003953399
5.024924324,4.09858187,23.56821801,5.3848958,3.953159763,0.29472356,0.001141098,0.014435371,0.00481179
5.811327496,4.315988473,23.50483797,5.330724736,4.027872186,0.34155774,0.001362451,0.017141962,0.005713987
6.597730669,4.544452687,23.43823433,5.27592517,4.106384589,0.388647257,0.001597453,0.019986215,0.006662072
8.105308775,5.015287891,23.30097283,5.16895759,4.2681885,0.479725424,0.002089343,0.025847851,0.00861595
9.144868619,5.366768453,23.19850652,5.093598738,4.388975835,0.543222759,0.002463022,0.030223588,0.010074529
